Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2010-01-04,23.211441040039062,23.32393561889907,22.9414529064181,22.963952394368572,38409100
2010-01-05,23.218942642211914,23.323938836686626,22.978953792749213,23.136447369238095,49749600
2010-01-06,23.076448440551758,23.308937442371484,22.888956987047983,23.158943707389955,58182400
2010-01-07,22.836454391479492,23.02394580214699,22.64146315273178,22.971447005585496,50559700
2010-01-08,22.993946075439453,23.1589379988929,22.678960453976753,22.70895976575697,51197400
2010-01-11,22.701465606689453,23.06894868508735,22.588971020313977,23.031449535998007,68754700
2010-01-12,22.551471710205078,22.79896037064254,22.431477294868507,22.611468917873363,65912100
2010-01-13,22.761459350585938,22.888953577193053,22.506470897371706,22.693962322944166,51863500
2010-01-14,23.218942642211914,23.323938836686626,22.69396739162385,22.731465112935005,63228100
2010-01-15,23.143945693969727,23.428932076555416,23.031449676461886,23.308937659630253,79913200
2010-01-19,23.323944091796875,23.428938879481553,23.00895829829614,23.06145569213848,46575700
2010-01-20,22.941452026367188,23.203940320602083,22.731461104890048,23.106443973669574,54849500
2010-01-21,22.506471633911133,23.038946613348415,22.49897180498927,22.95645135610014,73086700
2010-01-22,21.71900177001953,22.648960316319602,21.629006704536152,22.498966633252937,102004600
2010-01-25,21.98899269104004,22.243981127193653,21.82400076253604,21.92899549608895,63373000
2010-01-26,22.123998641967773,22.386487047538093,21.81651267358294,21.899009397448488,66639900
2010-01-27,22.251482009887695,22.363976576946467,21.764004599002334,22.011493218710044,63949500
2010-01-28,21.86900520324707,22.401481728133895,21.666514069961387,22.378982236508904,117513700
2010-01-29,21.1340389251709,22.438979396936812,20.74405632061196,22.423979735889223,193888500
2010-02-01,21.306528091430664,21.359025468135144,20.93904502405308,21.291528432244746,85931100
2010-02-02,21.344017028808594,21.37401633483982,21.104028302341344,21.276521451129618,54413700
2010-02-03,21.47152328491211,21.591519146025508,21.08904193119023,21.1940367004122,61397900
2010-02-04,20.879051208496094,21.374028598445427,20.85655171606332,21.284032059160793,77850000
2010-02-05,21.0140438079834,21.20903510386308,20.67655859772119,20.99904414742811,80960100
2010-02-08,20.789039611816406,21.059027603672927,20.676545092024668,21.006530256466476,52820600
2010-02-09,21.00653839111328,21.254027002671656,20.811547147090625,20.97653907798088,59195800
2010-02-10,20.991544723510742,21.17903619274229,20.879050128061092,21.02154404520206,48591300
2010-02-11,21.089035034179688,21.29902450394815,20.774049399081015,20.946541157946818,65993700
2010-02-12,20.946542739868164,21.044037653845663,20.684054452388008,20.856546224280706,81117200
2010-02-16,21.360952377319336,21.37602217696892,21.112306431641976,21.195187455444298,51935600
2010-02-17,21.541784286499023,21.586992245426543,21.368485912997617,21.496576327571507,45882900
2010-02-18,21.828102111816406,21.87331150546806,21.48150538329724,21.54178313769775,42856500
2010-02-19,21.677404403686523,21.790424992478414,21.617126660521865,21.692474198761378,44451800
2010-02-22,21.647268295288086,21.80549829475429,21.586990542428342,21.73015074439586,36707100
2010-02-23,21.34588050842285,21.72261684033087,21.16504724156321,21.609596228185474,52266200
2010-02-24,21.57192611694336,21.692483089819902,21.38355791270582,21.48904508433088,43165900
2010-02-25,21.549314498901367,21.586987550291287,21.112300491958255,21.300668623177437,48735300
2010-02-26,21.602062225341797,21.737687540397268,21.481506709100294,21.586992426527832,40370600
2010-03-01,21.86577606201172,21.888379321139638,21.496574645860797,21.677407904559107,43805400
2010-03-02,21.443832397460938,22.076749581768365,21.27806892047952,21.910986104786943,93123900
2010-03-03,21.443832397460938,21.556854452407723,21.36095137753779,21.481506894821575,48442100
2010-03-04,21.57192611694336,21.586995918194845,21.30067688009334,21.44383568057642,42890600
2010-03-05,21.541784286499023,21.609596943457856,21.413693871925137,21.594527144770314,56001800
2010-03-08,21.57192611694336,21.797968824309613,21.47397528307939,21.48904508433088,39414500
2010-03-09,21.700016021728516,21.9335936239986,21.511647822105402,21.519182722546564,50271600
2010-03-10,21.828102111816406,21.933589259868565,21.700011704073447,21.7452210977251,44891400
2010-03-11,21.986331939697266,21.993866838579017,21.737686025139507,21.7678241835315,35349700
2010-03-12,22.05414390563965,22.13702491648763,21.880845548161634,22.091816961740097,31700200
2010-03-15,22.06922149658203,22.12949926991056,21.858248571364438,21.9863390193295,37512000
2010-03-16,22.129501342773438,22.219917292667727,22.001410882810188,22.16717441570679,36723500
2010-03-17,22.325403213500977,22.50623798891275,22.15210477729495,22.22745236086059,50385700
2010-03-18,22.31032943725586,22.393210465661117,22.227446971715327,22.325397800607096,43845200
2010-03-19,22.295257568359375,22.528833705689497,22.114424290703617,22.423347986340758,81332100
2010-03-22,22.302791595458984,22.37813915081854,22.144561585490404,22.227444040099428,37718200
2010-03-23,22.513771057128906,22.528840861003612,22.15963928888694,22.295264649488082,42026600
2010-03-24,22.340463638305664,22.491158742169674,22.30279058090717,22.39320649351756,33987700
2010-03-25,22.611713409423828,23.03365767256092,22.453483412538063,22.47608810841745,73168700
2010-03-26,22.347997665405273,22.754873567684644,22.295254812250903,22.671991120079227,55595500
2010-03-29,22.295257568359375,22.468555946470914,22.265117970182512,22.38567348861968,33336000
2010-03-30,22.43088722229004,22.498699894162584,22.2274492066724,22.32540004541307,34954800
2010-03-31,22.06922149658203,22.393213630013207,21.9788041180215,22.332935856684678,63760000
2010-04-01,21.97126579284668,22.257586249390386,21.564391245567798,22.114426021118533,74768100
2010-04-05,22.05414390563965,22.17469940972305,21.87331064951455,21.948656761715448,34331200
2010-04-06,22.091814041137695,22.287717068658008,21.835633269544573,21.963723655341134,47366800
2010-04-07,22.11442756652832,22.272656168989936,21.95619752693135,21.971267328252083,58318800
2010-04-08,22.543903350830078,22.589111310651518,22.07674964222479,22.091819441210312,63713800
2010-04-09,22.860363006591797,22.913105868357924,22.528834599173727,22.566509098388963,54752500
2010-04-12,22.845287322998047,22.973377713069183,22.76240488320648,22.792544474816076,37068800
2010-04-13,22.9432430267334,22.98091608480529,22.702130568814134,22.717200366896908,41374600
2010-04-14,23.22202491760254,23.35765021329876,23.10146941856921,23.19942165974311,68941200
2010-04-15,23.25970458984375,23.319982352785953,23.13914762682412,23.222030089795357,52745400
2010-04-16,23.109012603759766,23.342588787255067,23.05626973366103,23.199429979025762,88703100
2010-04-19,23.38779640197754,23.546025000153623,23.17682350060745,23.184358401063736,64970300
2010-04-20,23.628910064697266,23.68918783783637,23.455610209428794,23.523422883852223,52199500
2010-04-21,23.60630226135254,23.734392692096886,23.530954695537872,23.60630226135254,55343100
2010-04-22,23.651512145996094,23.756999321554098,23.28231062438159,23.38779779993959,84847600
2010-04-23,23.327516555786133,23.794670311261278,23.0939403966162,23.448073522630747,126766600
2010-04-26,23.440532684326172,23.568623081835845,23.252164537231643,23.35765023972141,63649300
2010-04-27,23.244630813598633,23.546019576754087,23.169283263526022,23.31997836367124,68730900
2010-04-28,23.289846420288086,23.357659093918684,23.071340034139283,23.297381321484313,64557900
2010-04-29,23.357650756835938,23.681644206952992,23.10900485465179,23.30490790442338,52665200
2010-04-30,23.011062622070312,23.41793723309033,22.995992819441856,23.4104023317761,63214800
